Time (ms),Measured Pitch,Commanded Pitch
12053.0,-0.04,-1.0
12062.0,-0.02,0.0
12072.0,0.02,0.0
12082.0,-0.06,0.0
12091.0,-0.0,0.0
12101.0,0.04,0.0
12110.0,-0.05,0.0
12121.0,-0.11,0.0
12130.0,-0.08,0.0
12139.0,-0.03,0.0
12149.0,-0.01,0.0
12158.0,-0.1,0.0
12169.0,-0.03,0.0
12178.0,0.0,0.0
12187.0,0.02,0.0
12197.0,0.07,0.0
12207.0,-0.0,0.0
12217.0,-0.08,0.0
12226.0,-0.02,0.0
12235.0,-0.04,0.0
12246.0,0.02,0.0
12255.0,-0.06,0.0
12265.0,-0.09,0.0
12274.0,-0.02,0.0
12283.0,0.05,0.0
12294.0,0.06,0.0
12303.0,0.01,0.0
12313.0,0.06,0.0
12322.0,0.03,0.0
12332.0,0.04,0.0
12342.0,-0.02,0.0
12351.0,-0.03,0.0
12361.0,-0.02,0.0
12370.0,-0.06,0.0
12380.0,-0.02,0.0
12390.0,-0.05,0.0
12399.0,0.0,0.0
12409.0,-0.0,0.0
12419.0,0.03,0.0
12428.0,0.06,0.0
12438.0,-0.0,0.0
12447.0,0.05,0.0
12457.0,-0.04,0.0
12467.0,-0.08,0.0
12476.0,-0.01,0.0
12486.0,-0.08,0.0
12495.0,-0.02,0.0
12506.0,-0.07,0.0
12515.0,-0.08,0.0
12524.0,-0.06,0.0
12534.0,0.01,0.0
12544.0,-0.07,0.0
12553.0,-0.0,0.0
12563.0,-0.06,2.29
12572.0,-0.08,2.29
12582.0,-0.1,2.29
12592.0,0.18,2.29
12601.0,0.66,2.29
12611.0,1.42,2.29
12620.0,2.28,2.29
12631.0,2.71,2.29
12640.0,2.53,2.29
12649.0,2.04,2.29
12659.0,1.71,2.29
12668.0,1.83,2.29
12679.0,2.18,2.29
12688.0,2.57,2.29
12697.0,2.64,2.29
12707.0,2.44,2.29
12717.0,2.13,2.29
12727.0,1.93,2.29
12736.0,1.97,2.29
12745.0,2.22,2.29
12755.0,2.38,2.29
12765.0,2.38,2.29
12775.0,2.33,2.29
12784.0,2.19,2.29
12793.0,2.16,2.29
12804.0,2.16,2.29
12813.0,2.25,2.29
12823.0,2.28,2.29
12832.0,2.31,2.29
12841.0,2.23,2.29
12852.0,2.18,2.29
12861.0,2.27,2.29
12871.0,2.34,2.29
12880.0,2.38,2.29
12890.0,2.29,2.29
12900.0,2.22,2.29
12909.0,2.31,2.29
12919.0,2.38,2.29
12929.0,2.34,2.29
12938.0,2.26,2.29
12948.0,2.3,2.29
12957.0,2.37,2.29
12967.0,2.43,2.29
12977.0,2.34,2.29
12986.0,2.26,2.29
12996.0,2.31,2.29
13005.0,2.38,2.29
13015.0,2.42,2.29
13025.0,2.42,2.29
13034.0,2.34,2.29
13044.0,2.27,2.29
13053.0,2.34,2.29
13064.0,2.41,0.0
13073.0,2.36,0.0
13082.0,2.34,0.0
13092.0,2.22,0.0
13102.0,1.77,0.0
13111.0,1.12,0.0
13121.0,0.44,0.0
13130.0,-0.05,0.0
13140.0,-0.09,0.0
13150.0,0.06,0.0
13159.0,0.3,0.0
13169.0,0.33,0.0
13178.0,0.23,0.0
13189.0,0.02,0.0
13198.0,-0.1,0.0
13207.0,-0.14,0.0
13217.0,-0.03,0.0
13227.0,0.03,0.0
13237.0,0.07,0.0
13246.0,-0.02,0.0
13255.0,-0.08,0.0
13265.0,0.02,0.0
13275.0,0.09,0.0
13285.0,-0.01,0.0
13294.0,-0.09,0.0
13303.0,-0.16,0.0
13314.0,-0.08,0.0
13323.0,-0.02,0.0
13333.0,0.04,0.0
13342.0,-0.04,0.0
13351.0,0.01,0.0
13362.0,0.07,0.0
13371.0,0.13,0.0
13381.0,0.06,0.0
13390.0,0.04,0.0
13400.0,0.12,0.0
13410.0,0.19,0.0
13419.0,0.25,0.0
13429.0,0.17,0.0
13438.0,0.24,0.0
13448.0,0.31,0.0
13458.0,0.23,0.0
13467.0,0.14,0.0
13477.0,0.22,0.0
13487.0,0.29,0.0
13496.0,0.2,0.0
13506.0,0.24,0.0
13515.0,0.29,0.0
13524.0,0.32,0.0
13535.0,0.39,0.0
13544.0,0.31,0.0
13554.0,0.23,0.0
13563.0,0.22,0.0
13574.0,0.24,4.58
13583.0,0.3,4.58
13592.0,0.35,4.58
13602.0,0.29,4.58
13612.0,0.54,4.58
13621.0,1.4,4.58
13631.0,2.68,4.58
13640.0,3.89,4.58
13650.0,4.68,4.58
13660.0,4.61,4.58
13669.0,4.26,4.58
13679.0,3.69,4.58
13688.0,3.43,4.58
13699.0,3.7,4.58
13708.0,4.21,4.58
13717.0,4.72,4.58
13727.0,4.73,4.58
13736.0,4.42,4.58
13747.0,4.02,4.58
13756.0,3.99,4.58
13765.0,4.2,4.58
13775.0,4.53,4.58
13785.0,4.64,4.58
13795.0,4.54,4.58
13804.0,4.27,4.58
13813.0,4.1,4.58
13824.0,4.09,4.58
13833.0,4.14,4.58
13843.0,4.25,4.58
13852.0,4.26,4.58
13861.0,4.27,4.58
13872.0,4.2,4.58
13881.0,4.17,4.58
13891.0,4.26,4.58
13900.0,4.31,4.58
13910.0,4.36,4.58
13920.0,4.28,4.58
13929.0,4.22,4.58
13938.0,4.3,4.58
13948.0,4.37,4.58
13958.0,4.43,4.58
13968.0,4.35,4.58
13977.0,4.43,4.58
13986.0,4.5,4.58
13997.0,4.57,4.58
14006.0,4.56,4.58
14016.0,4.63,4.58
14025.0,4.7,4.58
14034.0,4.76,4.58
14045.0,4.68,4.58
14054.0,4.74,4.58
14064.0,4.82,4.58
14073.0,4.89,0.0
14083.0,4.96,0.0
14093.0,4.95,0.0
14102.0,4.86,0.0
14112.0,4.72,0.0
14121.0,3.95,0.0
14131.0,2.66,0.0
14141.0,1.26,0.0
14150.0,0.32,0.0
14160.0,0.23,0.0
14170.0,0.54,0.0
14179.0,0.81,0.0
14189.0,0.92,0.0
14198.0,0.83,0.0
14209.0,0.46,0.0
14218.0,0.12,0.0
14227.0,0.09,0.0
14237.0,0.24,0.0
14246.0,0.46,0.0
14257.0,0.5,0.0
14266.0,0.41,0.0
14275.0,0.21,0.0
14285.0,0.12,0.0
14295.0,0.11,0.0
14305.0,0.21,0.0
14314.0,0.25,0.0
14323.0,0.13,0.0
14333.0,0.03,0.0
14343.0,0.06,0.0
14353.0,0.16,0.0
14362.0,0.21,0.0
14371.0,0.25,0.0
14382.0,0.17,0.0
14391.0,0.11,0.0
14400.0,0.17,0.0
14410.0,0.23,0.0
14419.0,0.14,0.0
14430.0,0.06,0.0
14439.0,0.06,0.0
14448.0,0.13,0.0
14458.0,0.19,0.0
14468.0,0.1,0.0
14478.0,0.03,0.0
14487.0,0.11,0.0
14496.0,0.17,0.0
14507.0,0.09,0.0
14516.0,0.01,0.0
14526.0,0.08,0.0
14535.0,0.15,0.0
14544.0,0.21,0.0
14555.0,0.13,0.0
14564.0,0.2,0.0
14574.0,0.27,0.0
14583.0,0.31,6.3
14593.0,0.23,6.3
14603.0,0.15,6.3
14612.0,0.28,6.3
14622.0,1.02,6.3
14631.0,2.32,6.3
14641.0,3.79,6.3
14651.0,5.17,6.3
14660.0,5.91,6.3
14670.0,6.01,6.3
14680.0,5.83,6.3
14689.0,5.72,6.3
14699.0,5.88,6.3
14708.0,6.04,6.3
14718.0,6.12,6.3
14728.0,6.04,6.3
14737.0,5.83,6.3
14747.0,5.76,6.3
14756.0,5.78,6.3
14767.0,5.93,6.3
14776.0,5.99,6.3
14785.0,5.98,6.3
14795.0,5.89,6.3
14804.0,5.88,6.3
14814.0,5.97,6.3
14824.0,6.03,6.3
14833.0,5.95,6.3
14843.0,5.91,6.3
14853.0,5.98,6.3
14862.0,6.05,6.3
14872.0,6.1,6.3
14881.0,6.17,6.3
14892.0,6.24,6.3
14901.0,6.31,6.3
14910.0,6.37,6.3
14920.0,6.31,6.3
14929.0,6.31,6.3
14940.0,6.24,6.3
14949.0,6.17,6.3
14958.0,6.24,6.3
14968.0,6.31,6.3
14978.0,6.25,6.3
14988.0,6.32,6.3
14997.0,6.39,6.3
15006.0,6.33,6.3
15016.0,6.26,6.3
15026.0,6.31,6.3
15036.0,6.27,6.3
15045.0,6.19,6.3
15054.0,6.25,6.3
15065.0,6.29,6.3
15074.0,6.34,6.3
15084.0,6.37,6.3
15093.0,6.4,0.0
15102.0,6.32,0.0
15113.0,6.29,0.0
15122.0,6.34,0.0
15132.0,6.27,0.0
15141.0,5.69,0.0
15151.0,4.5,0.0
15161.0,2.97,0.0
15170.0,1.42,0.0
15180.0,0.47,0.0
15190.0,0.35,0.0
15199.0,0.59,0.0
15209.0,0.78,0.0
15218.0,0.84,0.0
15228.0,0.6,0.0
15238.0,0.34,0.0
15247.0,0.23,0.0
15257.0,0.31,0.0
15266.0,0.45,0.0
15277.0,0.6,0.0
15286.0,0.58,0.0
15295.0,0.45,0.0
15305.0,0.36,0.0
15314.0,0.36,0.0
15325.0,0.45,0.0
15334.0,0.48,0.0
15343.0,0.41,0.0
15353.0,0.34,0.0
15363.0,0.37,0.0
15372.0,0.43,0.0
15382.0,0.4,0.0
15391.0,0.33,0.0
15401.0,0.26,0.0
15411.0,0.33,0.0
15420.0,0.38,0.0
15430.0,0.42,0.0
15439.0,0.34,0.0
15450.0,0.27,0.0
15459.0,0.35,0.0
15468.0,0.4,0.0
15478.0,0.38,0.0
15488.0,0.3,0.0
15498.0,0.23,0.0
15507.0,0.27,0.0
15516.0,0.2,0.0
15526.0,0.12,0.0
15536.0,0.04,0.0
15546.0,0.1,0.0
15555.0,0.17,0.0
15564.0,0.24,0.0
15575.0,0.3,0.0
15584.0,0.37,0.0
15594.0,0.3,0.0
15603.0,0.21,6.99
15612.0,0.14,6.99
15623.0,0.09,6.99
15632.0,0.42,6.99
15642.0,1.44,6.99
15651.0,2.9,6.99
15661.0,4.52,6.99
15671.0,6.01,6.99
15680.0,6.89,6.99
15689.0,7.15,6.99
15699.0,7.11,6.99
15709.0,7.1,6.99
15719.0,7.16,6.99
15728.0,7.25,6.99
15737.0,7.25,6.99
15748.0,7.19,6.99
15757.0,7.15,6.99
15767.0,7.21,6.99
15776.0,7.22,6.99
15785.0,7.16,6.99
15796.0,7.13,6.99
15805.0,7.19,6.99
15815.0,7.1,6.99
15824.0,7.03,6.99
15834.0,7.08,6.99
15844.0,7.04,6.99
15853.0,6.96,6.99
15863.0,6.91,6.99
15873.0,6.95,6.99
15882.0,6.88,6.99
15892.0,6.84,6.99
15901.0,6.87,6.99
15911.0,6.81,6.99
15921.0,6.74,6.99
15930.0,6.74,6.99
15940.0,6.65,6.99
15949.0,6.57,6.99
15960.0,6.54,6.99
15969.0,6.61,6.99
15978.0,6.67,6.99
